Date/Time,Hs,Hmax,Tp,Tz,Peak Direction,SST
1/01/2017 0:00,0.856,-99.9,-99.9,-99.9,-99.9,-99.9
1/01/2017 0:30,0.875,1.39,4.506,4.421,-99.9,-99.9
1/01/2017 1:00,0.763,1.15,5.513,4.52,49,25.65
1/01/2017 1:30,0.77,1.41,5.647,4.582,75,25.5
1/01/2017 2:00,0.747,1.16,5.083,4.515,91,25.45
1/01/2017 2:30,0.718,1.61,6.181,4.614,68,25.45
1/01/2017 3:00,0.707,1.34,4.705,4.568,73,25.5
1/01/2017 3:30,0.729,1.21,4.484,4.786,63,25.5
1/01/2017 4:00,0.733,1.2,5.042,4.897,68,25.5
1/01/2017 4:30,0.711,1.29,8.439,5.019,66,25.5
1/01/2017 5:00,0.698,1.11,4.584,4.867,64,25.55
1/01/2017 5:30,0.686,1.14,5.211,4.755,56,25.55
1/01/2017 6:00,0.721,1.12,5.813,4.843,67,25.5
1/01/2017 6:30,0.679,1.22,4.71,4.948,81,25.45
1/01/2017 7:00,0.66,1.08,5.353,5.068,90,25.45
1/01/2017 7:30,0.662,1.18,7.436,5.263,67,25.4
1/01/2017 8:00,0.653,1.21,6.001,5.007,90,25.45
1/01/2017 8:30,0.665,1.17,6.414,4.952,90,25.55
1/01/2017 9:00,0.684,1.55,6.691,5.022,88,25.6
1/01/2017 9:30,0.679,1.09,6.804,4.926,88,25.65
1/01/2017 10:00,0.667,1.12,6.641,4.928,122,25.75
1/01/2017 10:30,0.688,1.13,5.958,4.808,91,25.7
1/01/2017 11:00,0.644,0.99,6.691,4.559,92,25.9
1/01/2017 11:30,0.694,1.18,7.122,4.442,98,25.7
1/01/2017 12:00,0.707,1.59,7.019,4.314,97,26
1/01/2017 12:30,0.714,1.37,8.154,4.14,88,26.05
1/01/2017 13:00,0.739,1.19,5.668,4.149,98,26.05
1/01/2017 13:30,0.846,1.51,7.055,3.961,81,26.05
1/01/2017 14:00,0.815,1.23,3.833,3.963,73,26.05
1/01/2017 14:30,0.903,1.63,3.652,4.072,53,26.15
1/01/2017 15:00,0.908,1.48,3.886,3.933,50,26.3
1/01/2017 15:30,0.957,1.56,4.397,4.105,43,26.4
1/01/2017 16:00,0.996,1.605,5.468,4.121,45,26.4
1/01/2017 16:30,1.08,1.78,4.589,4.21,70,26.35
1/01/2017 17:00,1.078,1.86,5.18,4.285,40,26.4
1/01/2017 17:30,1.125,2.13,4.854,4.313,47,26.3
1/01/2017 18:00,1.165,1.69,5.266,4.435,56,26.2
1/01/2017 18:30,1.244,1.94,5.94,4.527,54,26.1
1/01/2017 19:00,1.234,1.86,6.329,4.454,66,25.95
1/01/2017 19:30,1.328,2.564,5.214,4.591,80,25.75
1/01/2017 20:00,1.266,2.2,4.809,4.404,-99.9,25.45
1/01/2017 20:30,1.171,2.5,5.368,4.388,46,25.4
1/01/2017 21:00,1.181,1.92,5.306,4.591,61,25.2
1/01/2017 21:30,1.238,2.25,5.337,4.579,75,25.2
1/01/2017 22:00,1.201,2.03,5.984,4.654,59,25.15
1/01/2017 22:30,1.163,2.06,5.642,4.56,70,25.1
1/01/2017 23:00,1.163,2.01,6.138,4.507,60,25.05
1/01/2017 23:30,1.153,1.91,5.971,4.588,68,25
2/01/2017 0:00,1.088,1.88,5.512,4.594,60,24.95
2/01/2017 0:30,1.073,1.97,5.433,4.409,64,24.95
2/01/2017 1:00,0.966,1.72,5.945,4.246,61,24.9
2/01/2017 1:30,0.998,1.58,5.26,4.368,63,24.9
2/01/2017 2:00,1.003,1.68,5.751,4.486,59,24.7
2/01/2017 2:30,0.963,1.9,5.998,4.262,53,24.75
2/01/2017 3:00,1.048,2.03,5.972,4.56,60,24.7
2/01/2017 3:30,0.936,1.6,6.356,4.574,60,24.7
2/01/2017 4:00,0.951,1.6,6.372,4.915,61,24.65
2/01/2017 4:30,0.965,1.43,5.961,4.595,56,24.55
2/01/2017 5:00,0.987,1.61,5.205,4.718,56,24.45
2/01/2017 5:30,0.896,1.36,6.105,4.649,60,24.4
2/01/2017 6:00,0.894,1.31,5.616,4.611,53,24.45
2/01/2017 6:30,0.965,1.58,6.142,4.906,57,24.45
2/01/2017 7:00,0.95,1.61,6.176,4.699,57,24.45
2/01/2017 7:30,0.916,1.67,5.782,4.646,60,24.55
2/01/2017 8:00,0.935,1.81,5.34,4.76,60,24.95
2/01/2017 8:30,0.885,1.71,5.591,4.838,54,25
2/01/2017 9:00,0.91,1.57,6.133,4.957,60,25.05
2/01/2017 9:30,0.907,1.56,6.295,5.074,49,24.95
2/01/2017 10:00,0.903,1.5,6.089,4.903,52,25
2/01/2017 10:30,0.942,1.48,5.487,4.926,60,25.1
2/01/2017 11:00,0.896,1.53,5.507,4.907,59,25.15
2/01/2017 11:30,0.918,1.51,5.698,4.98,64,25.25
2/01/2017 12:00,0.856,1.25,6.36,4.787,56,25.4
2/01/2017 12:30,0.861,1.66,5.768,4.571,71,25.35
2/01/2017 13:00,0.835,1.24,6.024,4.582,67,25.3
2/01/2017 13:30,0.889,1.37,6.199,4.476,64,25.4
2/01/2017 14:00,0.819,1.35,6.134,4.453,61,25.4
2/01/2017 14:30,0.822,1.6,5.329,4.303,52,25.3
2/01/2017 15:00,0.807,1.33,6.103,4.084,66,25.35
2/01/2017 15:30,0.872,1.45,6.099,4.343,64,25.2
