Date/Time,Hs,Hmax,Tp,Tz,Peak Direction,SST
1/01/2017 0:00,1.015,1.88,5.513,5.01,57.12,21.85
1/01/2017 0:30,1.003,1.62,7.501,4.904,63.12,21.75
1/01/2017 1:00,0.939,1.73,5.462,4.867,63.12,21.75
1/01/2017 1:30,0.976,1.81,7.279,4.98,60.12,21.7
1/01/2017 2:00,0.949,1.82,5.428,4.888,75.12,21.95
1/01/2017 2:30,0.977,1.96,5.63,4.946,61.12,22.05
1/01/2017 3:00,0.879,1.39,5.651,4.745,56.12,21.85
1/01/2017 3:30,0.901,1.41,5.83,4.736,68.12,21.7
1/01/2017 4:00,0.899,1.39,5.231,4.758,61.12,21.65
1/01/2017 4:30,0.886,1.6,5.354,4.604,54.12,21.6
1/01/2017 5:00,0.869,1.48,5.385,4.62,56.12,21.55
1/01/2017 5:30,0.94,1.58,5.213,4.639,50.12,21.55
1/01/2017 6:00,0.853,1.54,5.007,4.617,49.12,21.55
1/01/2017 6:30,0.875,1.48,5.524,4.715,50.12,21.6
1/01/2017 7:00,0.89,1.32,7.469,4.611,51.12,21.45
1/01/2017 7:30,0.851,1.41,4.307,4.417,89.12,21.4
1/01/2017 8:00,0.84,1.41,7.815,4.48,81.12,21.3
1/01/2017 8:30,0.837,1.36,8.046,4.502,86.12,21.25
1/01/2017 9:00,0.831,1.34,7.344,4.498,81.12,21.25
1/01/2017 9:30,0.796,1.22,7.876,4.475,85.12,21.25
1/01/2017 10:00,0.759,1.21,7.548,4.533,85.12,21.35
1/01/2017 10:30,0.727,1.33,6.333,4.451,78.12,21.5
1/01/2017 11:00,0.785,1.46,7.048,4.352,85.12,22.15
1/01/2017 11:30,0.77,1.35,6.414,4.041,74.12,21.9
1/01/2017 12:00,0.798,1.3,7.548,4.064,71.12,21.8
1/01/2017 12:30,0.857,1.52,6.417,3.79,75.12,21.75
1/01/2017 13:00,0.871,1.43,6.519,3.958,68.12,21.9
1/01/2017 13:30,0.874,1.39,6.173,4.074,75.12,22.1
1/01/2017 14:00,0.845,1.56,6.585,3.988,82.12,21.85
1/01/2017 14:30,0.842,1.36,5.188,4.091,75.12,20.9
1/01/2017 15:00,0.789,1.26,7.212,3.993,79.12,21.25
1/01/2017 15:30,0.762,1.22,7.461,4.005,79.12,21.4
1/01/2017 16:00,0.752,1.23,6.3,4.147,51.12,21.8
1/01/2017 16:30,0.769,1.4,6.013,4.162,78.12,21.85
1/01/2017 17:00,0.805,1.22,6.788,4.337,75.12,21.45
1/01/2017 17:30,0.837,1.34,5.653,4.535,81.12,21.4
1/01/2017 18:00,0.819,1.45,6.193,4.457,82.12,21.25
1/01/2017 18:30,0.849,1.3,6.631,4.297,74.12,21
1/01/2017 19:00,0.893,1.64,6.538,4.582,75.12,20.8
1/01/2017 19:30,0.946,1.77,6.438,4.745,75.12,20.65
1/01/2017 20:00,0.962,1.79,6.332,4.642,77.12,20.85
1/01/2017 20:30,1.072,1.97,6.329,4.892,77.12,20.9
1/01/2017 21:00,1.089,1.76,5.98,4.962,70.12,20.95
1/01/2017 21:30,1.183,1.79,6.757,4.926,68.12,21.1
1/01/2017 22:00,1.123,1.74,6.991,4.781,68.12,21.15
1/01/2017 22:30,1.105,1.69,6.367,4.934,70.12,20.95
1/01/2017 23:00,1.12,1.81,6.79,4.856,72.12,20.9
1/01/2017 23:30,1.115,1.9,6.593,4.942,70.12,20.9
2/01/2017 0:00,1.092,1.78,6.751,4.879,70.12,20.9
2/01/2017 0:30,1.056,1.84,6.579,4.864,72.12,20.85
2/01/2017 1:00,1.085,1.71,5.456,4.835,71.12,20.85
2/01/2017 1:30,1.094,1.69,6.348,5.095,60.12,20.85
2/01/2017 2:00,1.119,1.94,6.017,4.811,65.12,20.8
2/01/2017 2:30,1.029,1.86,5.984,5.035,63.12,20.85
2/01/2017 3:00,0.959,1.7,5.807,4.773,57.12,20.85
2/01/2017 3:30,0.928,1.61,5.537,4.844,63.12,20.85
2/01/2017 4:00,0.902,1.51,5.471,4.756,64.12,20.85
2/01/2017 4:30,0.9,1.38,5.803,4.676,65.12,20.85
2/01/2017 5:00,0.944,1.63,6.18,4.863,68.12,20.85
2/01/2017 5:30,0.88,1.41,5.349,4.96,70.12,20.85
2/01/2017 6:00,0.839,1.5,6.566,4.748,65.12,20.85
2/01/2017 6:30,0.822,1.47,5.448,4.728,64.12,20.85
2/01/2017 7:00,0.752,1.61,6.419,4.689,70.12,20.8
2/01/2017 7:30,0.788,1.29,6.797,4.685,74.12,21.1
2/01/2017 8:00,0.766,1.34,5.801,4.73,82.12,21.15
2/01/2017 8:30,0.748,1.25,6.376,4.622,67.12,20.7
2/01/2017 9:00,0.752,1.29,5.997,4.451,71.12,21.25
2/01/2017 9:30,0.762,1.42,6.097,4.552,60.12,21.05
2/01/2017 10:00,0.761,1.35,6.522,4.502,71.12,21.2
2/01/2017 10:30,0.764,1.33,6.319,4.225,67.12,21.35
2/01/2017 11:00,0.785,1.22,6.169,4.164,71.12,21.3
2/01/2017 11:30,0.752,1.26,6.589,4.25,67.12,21.1
2/01/2017 12:00,0.766,1.35,6.151,4.227,61.12,21.1
2/01/2017 12:30,0.796,1.23,5.811,4.385,64.12,21.45
2/01/2017 13:00,0.816,1.69,5.497,4.15,61.12,21.9
2/01/2017 13:30,0.825,1.25,5.573,4.082,57.12,22.15
2/01/2017 14:00,0.773,1.23,5.95,3.929,54.12,22.2
2/01/2017 14:30,0.791,1.27,5.93,4.052,53.12,22.5
2/01/2017 15:00,0.777,1.26,5.66,4.042,57.12,22.1
2/01/2017 15:30,0.771,1.45,5.343,4.012,63.12,22
2/01/2017 16:00,0.709,1.29,5.181,4.067,67.12,21.6
2/01/2017 16:30,0.695,1.14,5.188,4.149,71.12,21.3
2/01/2017 17:00,0.722,1.36,4.811,4.146,64.12,21
2/01/2017 17:30,0.747,1.21,5.21,4.318,64.12,20.9
2/01/2017 18:00,0.755,1.27,6.287,4.566,58.12,20.6
2/01/2017 18:30,0.76,1.29,5.569,4.298,63.12,20.65
2/01/2017 19:00,0.781,1.23,4.199,4.494,58.12,21.4
2/01/2017 19:30,0.775,1.3,4.223,4.441,68.12,21.65
2/01/2017 20:00,0.726,1.36,4.963,4.025,63.12,22.1
2/01/2017 20:30,0.714,1.2,10.26,4.101,60.12,21.25
2/01/2017 21:00,0.724,1.16,5.665,4.474,58.12,21.4
2/01/2017 21:30,0.693,1.2,5.905,4.429,58.12,21.6
2/01/2017 22:00,0.71,1.27,5.646,4.632,65.12,21.65
2/01/2017 22:30,0.702,1.17,5.665,4.533,65.12,21.7
2/01/2017 23:00,0.684,1.11,6.294,4.273,64.12,21.65
2/01/2017 23:30,0.708,1.31,6.16,4.698,63.12,21.65
3/01/2017 0:00,0.711,1.25,6.166,4.77,60.12,21.55
3/01/2017 0:30,0.736,1.21,4.953,4.659,61.12,21.6
3/01/2017 1:00,0.748,1.2,6.018,4.886,70.12,21.7
3/01/2017 1:30,0.727,1.51,5.642,4.674,57.12,21.75
3/01/2017 2:00,0.741,1.3,5.633,4.469,64.12,21.7
3/01/2017 2:30,0.726,1.24,5.622,4.683,61.12,21.75
3/01/2017 3:00,0.76,1.35,5.94,4.77,58.12,21.85
3/01/2017 3:30,0.71,1.23,5.072,4.522,58.12,21.85
3/01/2017 4:00,0.721,1.33,5.792,4.216,77.12,21.85
3/01/2017 4:30,0.71,1.11,8.616,4.027,64.12,21.85
3/01/2017 5:00,0.71,1.08,9.475,3.993,84.12,21.9
3/01/2017 5:30,0.708,1.35,5.602,4.043,79.12,21.95
3/01/2017 6:00,0.675,1.1,8.622,4.04,78.12,21.95
3/01/2017 6:30,0.747,1.32,8.593,3.929,88.12,22.05
3/01/2017 7:00,0.7,1.2,9.314,3.947,84.12,22.2
